"TABLE_NAME","COLUMN_NAME","PRIMARY_KEY"
"tblNonRecruitmentReason","ReasonID","True"
"Employees Employment details","EmployeeID","True"
"LoginDetails","ID","True"
"Recruitment","RecuritmentId","True"
"TbJobDescriptionlKPIEntry","JobDescriptionKPIID","True"
"tblActivities","ActivitiesID","True"
"TblAllTrainings","TrainingID","True"
"TblAnalysisSkils","ID","True"
"tblAnswers","AnswerID","True"
"tblApproval","RefID","True"
"tblCarScheme","CarSchemeID","True"
"TblCostOfSale","CostofSaleID","True"
"tblCritical","ID","True"
"tblCriticalSkills","RefID","True"
"TblDeparment","DepID","True"
"TblDepot","DepotID","True"
"tblDevelopement","DevID","True"
"tblDevExp","ExperienceID","True"
"TblDisciplinary","ID","True"
"tblDisciplinaryAction","DAID","True"
"tblEmpInterview","ID","True"
"TblEmployeeExternalTrainingDetails","ExternalTrainingID","True"
"TblEmployeeInternalTrainingDetails","InternalTrainingID","True"
"TblEmployeePerformence","EmpPerID","True"
"TblEmployeJobDescriptionDetails","JobDescriptionID","True"
"tblEmpTake","TakeID","True"
"tblEmpTest","TestID","True"
"TblExpense","ExpenseID","True"
"TblExpenseCategory","ExpenseCategoryID","True"
"tblInterview","QueID","True"
"TblJobDescription","JobDescriptionID","True"
"TblJobdescriptionDetailRecord","JoBID","True"
"TblJobDescriptionEntryRecord","JobDescriptionRecordID","True"
"TblJobDesExternalTrainingEntry","JobDescriptionID","True"
"TblJobDesInternalTrainingEntry","JobDescriptionID","True"
"TblJobDesRolesAndResponsibility","RolesAndResponsibilitiesID","True"
"TblJobTitle","JobTitleID","True"
"TblKPI","KPIID","True"
"TblKPICategory","KPICateID","True"
"TblLeaveForm","LeaveID","True"
"tblMainSHeetInterview","EMPID","True"
"tblNatureOfOffence","OffenceID","True"
"tblOverheads","OverheadsID","True"
"tblPermissions","PermitID","True"
"tblQualDev","QualID","True"
"tblQue","QueID","True"
"TblScheme","SchemeID","True"
"tblSites","ID","True"
"tblSkillsDev","SkillID","True"
"tblSuccession","SuccID","True"
"tblTaxStatus","ID","True"
"tblTiers","TierID","True"
"TblTypeofLeave","TypeOfLeaveID","True"
"TbRegion","RegionID","True"
