"FromTable","ToTable","Columns"
"Recruitment","TblJobTitle","What position is Being Applied For=>JobTitleID"
"TbJobDescriptionlKPIEntry","TblJobdescriptionDetailRecord","JobdescriptionRecordID=>JoBID"
"tblAnswers","tblQue","QueNo=>QueID"
"tblCarScheme","TblDeparment","Department=>DepID"
"tblCarScheme","Employees Employment details","EmployeeName=>EmployeeID"
"tblCarScheme","TbRegion","Region=>RegionID"
"TblDisciplinary","tblDisciplinaryAction","DisciplinaryAction=>DAID"
"TblDisciplinary","tblNatureOfOffence","NatureOfOffence=>OffenceID"
"TblDisciplinary","Employees Employment details","EmployeeID=>EmployeeID"
"tblEmpInterview","tblMainSHeetInterview","EmpNo=>EMPID"
"TblEmployeeExternalTrainingDetails","Employees Employment details","EmployeeID=>EmployeeID"
"TblEmployeeInternalTrainingDetails","Employees Employment details","EmployeeID=>EmployeeID"
"TblEmployeePerformence","Employees Employment details","ReviewedBy=>EmployeeID"
"TblEmployeePerformence","Employees Employment details","EmployeeID=>EmployeeID"
"TblExpense","TblExpenseCategory","ExpenseCategory=>ExpenseCategoryID"
"TblExpense","TblCostOfSale","CostOfSaleID=>CostofSaleID"
"TblExpense","TbRegion","Region=>RegionID"
"TblExpense","TblDeparment","Department=>DepID"
"TblExpense","TblDepot","DepotID=>DepotID"
"TblExpense","Employees Employment details","EmployeeID=>EmployeeID"
"TblExpense","tblOverheads","OverheadsID=>OverheadsID"
"TblExpense","tblActivities","ActivitiesID=>ActivitiesID"
"TblJobdescriptionDetailRecord","TblJobTitle","Job Title=>JobTitleID"
"TblJobDescriptionEntryRecord","TblJobdescriptionDetailRecord","JobDescriptionID=>JoBID"
"TblJobDesExternalTrainingEntry","TblJobdescriptionDetailRecord","JobDescription=>JoBID"
"TblJobDesInternalTrainingEntry","TblJobdescriptionDetailRecord","JobDescription=>JoBID"
"TblJobDesRolesAndResponsibility","TblJobdescriptionDetailRecord","JobDescriptionId=>JoBID"
"TblLeaveForm","TblDeparment","Department=>DepID"
"TblLeaveForm","Employees Employment details","Approver=>EmployeeID"
"TblLeaveForm","TblTypeofLeave","TypeOfLeave=>TypeOfLeaveID"
"TblLeaveForm","Employees Employment details","EmployeeID=>EmployeeID"
"TblLeaveForm","TbRegion","Region=>RegionID"
