JobDescriptionID,JobTitleID,JobDescription
28,1,"Responsible and accountable to meet the Board Objectives, Vision and Charter."
29,1,Responsible and accountable to meet the Financial Performance
30,2,COO- Respsonsible and accounable for the SHEQ retalted Incidents and accidents
31,2,COO- Responsible and Accontable as  Section 16.2 to the CEO.
32,2,COO- Resposble and acountable for the business performance - (Revenue generation)
33,2,COO- Responsible  and accountable for Comercial drive to grow the business
34,2,COO- Reponsible for Providing Resosurces to Regional Managers
35,2,COO- Responsible for Operational Efficiencies and Productivity
36,2,COO- Responsible for Budget Control
37,1,Respsonsibel for Human Capital and Corperate Governance and with Liason with EXCO create Policies
38,1,Cretate strategy with liason with EXCO and Board
39,2,COO- Respsoble for HR and Corperate Governance
40,4,RM- Responsile  and Accountable for SHEQ management of the region
41,4,RM- Responsible for Revenure Generation to meet KPI targets
42,4,RM- Responsible for achieving sales targets
43,4,RM- Responible for Budget Control
44,4,RM- Resposnible for Operational Efficientcies and Resource Provision
45,4,RM- Responsible for HR and Corperate Governance
46,1,Responsible and acountable for SHEQ Related incidents and accidents.
47,35,
48,1,Resposnsible for the companies image of the organisation
49,1,Reponsible and acountable to provide resosurces for SHEQ management on site.
50,1,Reponsible and acountable to ensure compliance
51,1,Responsible and acountable for SHEQ Related incidents and accidents.
