JoBID,Job Title,Skill level,Qualification
1,1,Professional,MBA/BCOM/MCOM
2,2,Proffessional,Master Operations Degree/Projects/OHS exams
3,3,Proffessional,BSC Degree
4,4,Proffessional,Operations Degree/OHS certificate
5,5,Proffesional,B-COM- Finance Degree
6,6,Proffesional,Production Diploma /SAMTRAC/RISKMAQ/Nat. Diploma Safety/Law Qualification
7,7,skilled,Logistic Degree (transport)
8,8,skilled,Sales and Marketing Degree
9,9,semi skilled,Sales and Marketing Diploma
10,10,skilled,Sales and Marketing  certificate/diploma
11,11,semi skilled,"Matric, End user Computing /Sales/Marketing Certificate"
12,12,Skilled,Diploma in Planning/Logistics(transport)
13,13,semi skilled,Matric/End user computing
14,14,skilled,Operations Diploma and OHS certificate
15,15,skilled,Certifcate in operations and OHS certifcate
16,16,semi skilled,
17,17,skilled,
18,18,skilled,
19,19,semi skill,
20,20,skilled,"Degree in Environment and or Safety/ISO - (9001, 14001, 45001)OHS certificate (SAMTRAC/RISKMAQ)"
21,21,skilled,Debtors course/Finance certificate /Diploma
22,22,skilled,Finance Diploma/Certificate
23,23,skilled,Degree in HR
24,24,skilled,Diploma in HR
25,25,skilled,Logistics Diploma (transport)
26,26,skilled,Production certfcate/OHS certificate
27,27,skilled,BSC-Degree related (chemistry preferably)
28,28,skilled,Diploma in chemistry or Natural Science
29,29,skilled,Diploma in Analitical Chemistry
30,30,skilled,
31,31,skilled,
32,32,skilled,
34,33,skilled,
35,34,skilled,
36,35,skilled,
37,36,semi skilled,
38,37,semi skilled,
39,38,semi skilled,
40,39,unskilled,
41,40,Skilled,"Marketing and Sale degreee (Branding, Social media, Marketing,signage , Sustainable development) courses"
