Scale,MinRate,MaxRate,OccLevel,JobTitle,Code,PatersonGrade,PatersonBand
2,,,Top management,Chief Executive Officer,CEO,F Upper,Band F
,,,Top management,Executive Chairman,EC,F Upper,Band E
,,,Top management,Chief Operations Officer,COO,F Middle,Band D
,,,Top management,Financial Director,FD,F Lower,Band C
,,,Top management,Regional Manager,REGM,E Upper,Band B
,,,Top management,Financial Manager,FM,E Middle,Band A
,,,Top management,Compliance Manager,COMP_M,D Upper,
,,,Top management,Technical Manager,TECM,D Upper,
,,,Senior Management,Operations Manager,OPMAN,E Middle,
,,,Senior Management,Logistics Manager,LOGMAN,E Middle,
,,,Senior Management,Hazardous Waste Manager,HWM,D Upper,
,,,Senior Management,Organic Manager,ORGM,D Upper,
,,,Senior Management,Manager – Gen Waste Operations,MGWO,D Upper,
,,,Senior Management,Manager – Org + Haz,MOH,D Upper,
,,,Senior Management,Resource Manager,RESM,D Upper,
,,,Senior Management,MRF Manager,MRFM,D Middle,
,,,Senior Management,Depot Manager,DEPM,D Middle,
,,,Senior Management,Branch Manager,BRMAN,D Upper,
,,,Senior Management,Project Manager,PRMAN,D Upper,
,,,Middle Management / Site Management / Controllers,Site Manager,SMAN,D Lower,
,,,Middle Management / Site Management / Controllers,Operations Controller,OPCON,D Lower,
,,,Middle Management / Site Management / Controllers,Logistics Controller,LOCON,D Lower,
,,,Middle Management / Site Management / Controllers,Fleet Controller,FC,C Upper,
,,,Middle Management / Site Management / Controllers,Credit Controller,CRECON,C Upper,
,,,Middle Management / Site Management / Controllers,Logistics Admin Controller,LACONT,C Upper,
,,,Middle Management / Site Management / Controllers,Operations Admin Controller,OPAC,C Upper,
,,,Middle Management / Site Management / Controllers,HWF Controller,HWFC,C Upper,
,,,Middle Management / Site Management / Controllers,Liquid Controller,LQC,C Upper,
,,,Middle Management / Site Management / Controllers,Administrative Controller,ADMIN,C Upper,
,,,Supervisors,Supervisor,SUP,C Upper,
,,,Supervisors,Site Supervisor,SITESU / STSUP,C Upper,
,,,Supervisors,Depot Supervisor,DEPS,C Upper,
,,,Supervisors,Warehouse Supervisor,WS,C Upper,
,,,Supervisors,Yard Supervisor,YSUP,C Upper,
,,,Supervisors,Logistics Supervisor,LOGSUP,C Upper,
,,,Supervisors,Recycling Supervisor,RECSUP / RSUP,C Upper,
,,,Supervisors,Plant Supervisor,PLNSUP,C Upper,
,,,Supervisors,Production Supervisor,PDS,C Upper,
,,,Supervisors,Organic Waste Supervisor,OWSUP,C Upper,
,,,Supervisors,Hazardous Waste Supervisor,H W S,C Upper,
,,,Supervisors,Disposal Supervisor,SDSUP,C Upper,
,,,Supervisors,Resource Recovery Supervisor,RRS,C Upper,
,,,Supervisors,Resource Recovery Plant Supervisor,RRPS,C Upper,
,,,Supervisors,Conveyor Belt Supervisor,CNBS,C Upper,
,,,Supervisors,Contract Supervisor,CONSUP,C Upper,
,,,Supervisors,Integrated Contracts Supervisor,INCSUP,C Upper,
,,,Supervisors,Compliance Logistics Supervisor,CLS,C Upper,
,,,Supervisors,Facilities Supervisor,FS,C Upper,
,,,Supervisors,Bakery Supervisor,BSUP,C Upper,
,,,Supervisors,Onsite Supervisor,ONSU / ONSS / OSS,C Upper,
,,,Supervisors,GYSA Site Supervisor,GSS,C Upper,
,,,Team Leaders,Team Leader,TM / T_LEAD,C Middle,
,,,Team Leaders,Site Team Leader,STML / STEAML,C Middle,
,,,Team Leaders,Sales Team Leader,STL / STLDR,C Middle,
,,,Team Leaders,Recycling Team Leader,RTL,C Middle,
,,,Team Leaders,Organic Team Leader,OTL,C Middle,
,,,Team Leaders,Warehouse Team Leader,WTL,C Middle,
,,,Team Leaders,Admin Team Leader,ATL,C Middle,
,,,Team Leaders,Support Office Team Leader,SOFL,C Middle,
,,,Team Leaders,Forklift Operator / Team Leader,FOTL,C Middle,
,,,Team Leaders,Team Leader / Driver,TL/DR,C Middle,
,,,Team Leaders,Team Lead / Forklift Operator,TL/FO,C Middle,
,,,Team Leaders,Sludge Contracts Team Leader,STLSC,C Middle,
10,544,,Clerks / Admin / Coordinators / Officers,Driver,DRIVER,B Upper,A
,,,Clerks / Admin / Coordinators / Officers,Admin Team Leader,ATL,B Upper,
,,,Clerks / Admin / Coordinators / Officers,Cleaner,CLEAN,B Upper,
,,,Clerks / Admin / Coordinators / Officers,Debtors Clerk,DCLERK,B Upper,
,,,Clerks / Admin / Coordinators / Officers,Creditors Clerk,CC,B Upper,
,,,Clerks / Admin / Coordinators / Officers,Creditors & Cashbook Clerk,CCBC,B Upper,
,,,Clerks / Admin / Coordinators / Officers,Creditors & Bank Clerk,CRED,B Upper,
,,,Clerks / Admin / Coordinators / Officers,Receptionist,RECEP,B Upper,
,,,Clerks / Admin / Coordinators / Officers,Sales Administrator,SAA,B Upper,
,,,Clerks / Admin / Coordinators / Officers,Sales Admin Clerk,SADCL,B Upper,
,,,Clerks / Admin / Coordinators / Officers,Internal Sales Admin,ISA,B Upper,
,,,Clerks / Admin / Coordinators / Officers,Logistics Admin,LOGADM,B Upper,
,,,Clerks / Admin / Coordinators / Officers,Logistics Clerk,LOGCLK,B Upper,
,,,Clerks / Admin / Coordinators / Officers,Operations Admin Support,OPAS,B Upper,
,,,Clerks / Admin / Coordinators / Officers,Project Coordinator,PCO,B Upper,
,,,Clerks / Admin / Coordinators / Officers,Technical Admin Officer,TAO,B Upper,
,,,Clerks / Admin / Coordinators / Officers,SHEQ Officer,SHEQ,C Lower,
,,,Clerks / Admin / Coordinators / Officers,Marketing Officer,MOFF,C Lower,
,,,Clerks / Admin / Coordinators / Officers,External Sales Consultant,ESC,C Lower,
,,,Clerks / Admin / Coordinators / Officers,Sales Consultant,SALCON,C Lower,
,,,Clerks / Admin / Coordinators / Officers,Key Accounts Consultant,KEYA,C Lower,
,,,Clerks / Admin / Coordinators / Officers,Sales Representative,SALES,C Lower,
,,,Clerks / Admin / Coordinators / Officers,Sustainable Development & Communications Officer,SDCO,C Lower,
,,,Operators / Drivers / Skilled Workers,Code 14 Driver,C14DR / CDR,B Middle,
,,,,Code 14 Driver DGP,C14DGP / DGPD,B Middle,
,,,,Heavy Duty Truck Driver,HEAVY,B Middle,
,,,,Driver,DRIVER,B Middle,
,,,,Skip Driver,SKDR,B Middle,
,,,,RORO Driver,R DRIV,B Middle,
,,,,LDV Driver,LDV DR,B Middle,
,,,,Tipper Driver,TIPPDR,B Middle,
,,,,Equipment Operator,EOP,B Middle,
,,,,Machine Operator,MACOPP,B Middle,
,,,,Forklift Operator,FLOP,B Middle,
,,,,Forklift Driver,FKDR,B Middle,
,,,,Tow Motor Operator,TMOP,B Middle,
,,,,Turbo Mixer Operator,TUMOP,B Middle,
,,,,Welder,WELDER,B Middle,
,,,,Weighbridge Operator,WBP,B Middle,
,,,,Baler Operator,BOPR,B Middle,
,,,,Mixing Operator,MIXOP,B Middle,
,,,,Tyre Cutter,TYC,B Middle,
,,,Assistants / General Workers / Labour,General Worker,GW,A Upper,
,,,,General Worker Sorter,GW S,A Upper,
,,,,Site Worker,STW / SWRK,A Upper,
,,,,Onsite Worker,ONWRK / OS,A Upper,
,,,,Driver Assistant,DRVASS,A Upper,
,,,,Skip Assistant,SKIPAS,A Upper,
,,,,LDV Assistant,LDVASS,A Upper,
,,,,Truck Assistant,TRASS,A Upper,
,,,,Vehicle Assistant,VASS,A Upper,
,,,,Bin Washer,BINWAS,A Upper,
,,,,Bin Painter,BINP,A Upper,
,,,,Cleaner,CLEAN,A Lower,
,,,,Office Cleaner,OFFCL,A Lower,
,,,,Tea Lady,TEA LD,A Lower,
,,,,Yard Worker / Yard PE,YARDPE,A Upper,
,,,,Truck Washer,TRUW,A Upper,
