OverheadsID,Code,Overheads
2,276,Water and electricity
3,290,Advertising
4,292,Social Responsibility
5,293,Gifts
6,295,Entertainment
7,305,Accounting Services
8,320,Consulting
9,322,Legal Fees
10,330,Postage & Courier
11,335,Travel & Subsistence
12,340,Printing & Stationery
13,342,Donation
14,345,Telephones
15,350,Computer Expenses
16,355,Bank Charges
17,370,Refreshments
18,373,Staff Welfare
19,375,Security
20,380,Subscriptions
21,385,Training
22,390,SHE
23,395,Sundry Expenses
24,410,Interest - Bank overdraft
