Year,Region,Department,Job title,Occupational Level,Field6,Employment Type,Gender,Race,Responsible Executive,Responsible Manager,Progress Track Status,Reason for appointment
2025.0,KZN,Sales,Compliance Manager,Top management,,Able Bodied,Male,African,Graeme,Martin,Achieved ,Replacement 
2026.0,Gauteng,Administration,Technical manager,Senior management,,Disabled,Female,Coloured,Dirk,Sandile,Not Achieved- not appointed ,New position 
2027.0,Eastern Cape,Logistics,Regional Manager,Professionally qualified and experienced specialists and midmanagement,,,,Indian,James,Ameer,Not achieved - replaced,
2028.0,Westen cape,Onsite Contracts,Finance Manager,"Skilled technical and academically qualified workers, junior management, supervisors, foremen, and superintendents",,,,White,Peter,Barry,,
2029.0,,Operations ,Depot Manager,Semi-skilled and discretionary decision making,,,,,Greg,Asha,,
2030.0,,Compliance ,Logistics manager , Unskilled and defined decision making,,,,,Andrew,Elwin,,
,,Technical,Sales Manager,,,,,,Jerusha,Megan,,
,,Finance,MRF Manaager ,,,,,,Lawrence,Quenton,,
,,,HW Manager,,,,,,Ross,Lukas,,
,,,,,,,,,,Kylie,,
,,,,,,,,,,Tania,,
,,,,,,,,,,Harry,,
,,,,,,,,,,Roxanne,,
,,,,,,,,,,Samantha,,
,,,,,,,,,,Themba,,
