Due Date,Occupational Level,Employment Type,Gender,Race,Value
2026.0,Senior management,Able Bodied,Male,African,1.0
2026.0,Senior management,Able Bodied,Female,Coloured,1.0
2026.0,Professionally qualified and experienced specialists and midmanagement,Able Bodied,Male,African,1.0
2026.0,"Skilled technical and academically qualified workers, junior management, supervisors, foremen, and superintendents",Able Bodied,Male,African,1.0
2026.0,"Skilled technical and academically qualified workers, junior management, supervisors, foremen, and superintendents",Able Bodied,Female,African,3.0
2026.0,"Skilled technical and academically qualified workers, junior management, supervisors, foremen, and superintendents",Able Bodied,Female,Coloured,1.0
2026.0,Semi-skilled and discretionary decision making,Disabled,Male,African,1.0
2027.0,Top management,Able Bodied,Male,White,-1.0
2027.0,"Skilled technical and academically qualified workers, junior management, supervisors, foremen, and superintendents",Able Bodied,Female,Coloured,1.0
2027.0, Unskilled and defined decision making,Able Bodied,Male,African,1.0
2027.0, Unskilled and defined decision making,Able Bodied,Female,African,2.0
2028.0,Semi-skilled and discretionary decision making,Able Bodied,Female,Coloured,1.0
2028.0, Unskilled and defined decision making,Disabled,Male,African,1.0
2028.0, Unskilled and defined decision making,Disabled,Female,African,1.0
2029.0,Top management,Able Bodied,Male,African,1.0
2029.0,Top management,Able Bodied,Male,Coloured,1.0
2029.0,Top management,Able Bodied,Male,Indian,1.0
2029.0,Top management,Able Bodied,Female,African,1.0
2029.0,Senior management,Able Bodied,Male,African,1.0
2029.0,Top management,Able Bodied,Male,Indian,1.0
2029.0,Top management,Able Bodied,Female,Coloured,1.0
2029.0,Senior management,Able Bodied,Female,Coloured,1.0
2029.0,Professionally qualified and experienced specialists and midmanagement,Able Bodied,Female,African,2.0
2029.0,Semi-skilled and discretionary decision making,Disabled,Male,African,1.0
2029.0,Semi-skilled and discretionary decision making,Disabled,Female,African,1.0
,,,,,27.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
