ID,Site
1,Blendcor
2,Illovo Sugar
3,Integrated Contracts Albany
4,Integrated Contracts Famous Br
5,Integrated Contracts Feltex
6,Integrated Contracts Ferro
7,Integrated Contracts Franke
8,Integrated Contracts IOP Clean
9,Integrated Contracts Paarl Med
10,Integrated Contracts Protea Mo
11,Integrated Contracts Riverhors
12,Integrated Contracts Suncoast
13,Integrated Contracts Tongaat H
14,Integrated Contracts Voermol
15,IOP Yard Cleaners
16,Logistics
17,MRF
18,Recycling
19,Sibaya Casino
20,METALLICA
21,FRY FOODS
22,Dube Tradeport
23,Vitafoam
24,TRIDENT STEEL
25,FINAL TAURO
26,GRAEME SMART
27,HEATHER LANDSBERG
28,JEANETTE COETSER
29,JERUSHA NAIDOO
30,Animal Feeds Facility
31,Disposal
32,Int Conts - Albany Bakery
33,Int Conts - AVI
34,Int Conts - Chep Alrode
35,Int Conts - Chep Jetpark
36,Int Conts - Exarro
37,Int Conts - Faurecia Interiors
38,Int Conts - Festive Chickens
39,Int Conts - GHH Mining
40,Int Conts - IFF
41,Int Conts - McCain Delmas
42,Int Conts - McCain Springs
43,Int Conts - MSSL
44,Int Conts - Bridgestone Brits
45,Int Conts - Reliever Staff
46,Int Conts - Royal Canin
47,Int Conts - Sealed Air
48,Int Conts - SG Consumer
49,Int Conts - Kaalfontein Hatchery
50,Int Conts - Sulzer Pumps
51,Int Conts - UP
52,Int Conts - Union Swiss
53,Int Conts - Spartan Cleaning Crew
54,Int Conts - Wits University
55,Organics
56,Int Conts- StonCor
57,Logistics - Pretoria
58,Logistics Spartan
60,Safe Disposal Facility
61,Spartan Treatment
62,Int Conts - BMW Roslyn
63,Int Conts - Bio2Watt
64,Haz Waste
65,Int Conts -  IASJ
66,Int Conts - Aveng Trident Steel
68,Int Conts - Reliever
69,Biomass
70,LUKAS VERMAAK
71,Aberdare - PE
72,ACSA - PE
73,Auto X - PE
74,Boardwalk - PE
75,Coke pers - PE
76,CRH -PE
77,DHL - PE
78,Distel - PE
79,Ebor - PE
80,Faurecia Exhaust - PE
81,Faurecia Interior - Uitenhage
82,GYSA - Uitenhage
84,Mondelez -PE
85,MW Wheels - PE
86,NMB Stadium - PE
87,Oricol offices
88,Q-Plas -Uitenhage
89,Riverside
90,SG Consumer - PE
91,SP Metal forging - Uitenhage
92,TNPA - PE Port
93,TNPA Coega
94,Transnet Engineering - Uitenah
95,Transnet New Brighton
96,Trident Steel - PE
97,Umicore - PE
98,EC Recycling Facility
99,PRAGA
100,Tenneco
101,ROSS ARDE
102,SHERWYN RULSUR
103,Abedare Cables
